,SP,m_cap,m_bus,m_clock,PRICE
0,160.0,1.0,64.0,1.334,3480.0
1,160.0,2.0,64.0,1.0,5148.0
2,192.0,1.0,32.0,5.012,4125.0
3,192.0,1.0,64.0,1.0,3311.0
4,192.0,1.0,64.0,1.6,3498.0
5,192.0,1.0,64.0,5.0,3422.0
6,192.0,2.0,64.0,1.0,4089.0
7,192.0,2.0,64.0,1.6,4200.0
8,192.0,2.0,64.0,2.5,4580.0
9,192.0,2.0,64.0,5.012,5283.0
10,384.0,1.0,64.0,1.8,12635.0
11,384.0,2.0,64.0,5.0,6094.0
12,384.0,2.0,64.0,6.0,8514.0
13,384.0,2.0,64.0,6.007999999999999,8280.0
14,512.0,2.0,128.0,6.0,7464.0
15,640.0,2.0,128.0,6.0,9570.0
16,640.0,2.0,128.0,7.007999999999999,11880.0
17,768.0,4.0,128.0,3.5,16628.0
18,768.0,4.0,128.0,7.0,11992.0
19,768.0,4.0,128.0,7.007999999999999,11091.0
20,768.0,4.0,128.0,7.108,30350.0
21,896.0,2.0,128.0,6.0,9328.0
22,896.0,4.0,128.0,7.0,14278.0
23,896.0,4.0,128.0,8.0,14278.0
24,896.0,4.0,128.0,8.002,16298.0
25,1024.0,2.0,128.0,6.0,9579.0
26,1152.0,3.0,192.0,8.0,27517.0
27,1152.0,3.0,192.0,8.008,33308.0
28,1280.0,4.0,128.0,12.0,19800.0
29,1280.0,4.0,128.0,12.002,21402.0
30,1280.0,6.0,192.0,8.0,32619.0
31,1280.0,6.0,192.0,8.008,27478.0
32,1280.0,6.0,192.0,8.107999999999999,32634.0
33,1280.0,6.0,192.0,8.208,50897.0
34,1408.0,4.0,128.0,14.0,22000.0
35,1408.0,6.0,192.0,8.0,24728.0
36,1408.0,6.0,192.0,8.002,23524.0
37,1408.0,6.0,192.0,8.008,25048.0
38,1408.0,6.0,192.0,14.0,25080.0
39,1408.0,6.0,192.0,14.002,26497.0
40,1408.0,8.0,128.0,14.0,24725.0
41,1408.0,8.0,128.0,14.4,32713.0
42,1536.0,6.0,192.0,12.0,28800.0
43,1536.0,6.0,192.0,12.002,29678.0
44,1920.0,6.0,192.0,14.0,34430.0
45,1920.0,6.0,192.0,14.14,55952.0
46,1920.0,8.0,256.0,8.008,62399.0
47,2048.0,4.0,256.0,1.75,16500.0
48,2048.0,4.0,256.0,7.0,20372.0
49,2048.0,4.0,256.0,7.01,71279.0
50,2048.0,8.0,256.0,7.0,18678.0
51,2176.0,8.0,256.0,14.0,44800.0
52,2304.0,8.0,256.0,2.0,52668.0
53,2304.0,8.0,256.0,7.0,24263.0
54,2304.0,8.0,256.0,8.0,17980.0
55,2304.0,8.0,256.0,8.4,34480.0
56,2304.0,8.0,256.0,14.0,37980.0
57,2304.0,8.0,256.0,14.142000000000001,83283.0
58,2432.0,8.0,256.0,8.0,58119.0
59,2432.0,8.0,256.0,8.008,68200.0
60,2560.0,8.0,256.0,14.0,45800.0
61,2560.0,8.0,256.0,14.4,65780.0
62,2560.0,8.0,256.0,15.5,79750.0
63,2944.0,8.0,256.0,14.0,76978.0
64,2944.0,8.0,256.0,14.14,109796.0
65,2944.0,8.0,256.0,14.4,79444.0
66,3072.0,8.0,256.0,15.5,78101.0
67,3584.0,8.0,2048.0,0.8,40311.0
68,3584.0,11.0,352.0,11.0,99880.0
69,3840.0,16.0,4096.0,1.0,97598.0
70,4096.0,8.0,2048.0,0.945,29980.0
71,4096.0,8.0,2048.0,1.9,60414.0
72,4352.0,11.0,352.0,7.0,207548.0
73,4352.0,11.0,352.0,14.0,131470.0
74,4352.0,11.0,352.0,14.14,178107.0
75,4352.0,11.0,352.0,14.4,180873.0
76,4352.0,11.0,352.0,14.8,208800.0
