0,rpm,cache,PRICE
1,5400.0,256000.0,13936
2,5400.0,64000.0,8225
3,5400.0,256000.0,7531
4,5400.0,256000.0,23533
5,5400.0,256000.0,6356
6,7200.0,32000.0,4024
7,7200.0,128000.0,18753
8,7200.0,64000.0,5551
9,5400.0,256000.0,10957
10,7200.0,64000.0,4738
11,5400.0,256000.0,8777
12,5400.0,256000.0,5702
13,5400.0,256000.0,20980
14,5400.0,64000.0,14518
15,5400.0,64000.0,10758
16,7200.0,256000.0,6497
19,5400.0,256000.0,35580
20,5400.0,64000.0,7347
21,7200.0,32000.0,4037
22,5400.0,256000.0,44779
23,7200.0,64000.0,7141
24,5900.0,64000.0,12650
25,7200.0,64000.0,4375
27,5400.0,256000.0,6835
28,7200.0,256000.0,24058
31,5400.0,64000.0,11435
33,5400.0,64000.0,7186
34,7200.0,256000.0,49879
35,7200.0,256000.0,24728
37,7200.0,256000.0,33980
40,7200.0,256000.0,68200
41,5400.0,64000.0,7350
42,5400.0,64000.0,5777
46,5400.0,512000.0,62800
47,7200.0,256000.0,19841
48,7200.0,256000.0,26949
49,7200.0,256000.0,39930
50,7200.0,16000.0,2176
51,5400.0,64000.0,8954
52,7200.0,256000.0,26508
55,5400.0,64000.0,18977
56,7200.0,32000.0,4639
57,7200.0,64000.0,7933
58,5900.0,64000.0,10098
60,7200.0,128000.0,15239
61,7200.0,256000.0,19269
62,7200.0,256000.0,28200
63,5400.0,64000.0,5929
64,7200.0,128000.0,9880
65,5400.0,64000.0,5250
66,7200.0,128000.0,10361
67,7200.0,64000.0,14938
69,7200.0,256000.0,71500
70,7200.0,8000.0,2800
72,7200.0,256000.0,20889
73,7200.0,16000.0,2967
74,7200.0,128000.0,9628
75,7200.0,256000.0,38068
76,7200.0,256000.0,54000
77,7200.0,512000.0,62578
78,7200.0,16000.0,3264
79,5900.0,64000.0,6952
80,7200.0,256000.0,34800
81,7200.0,256000.0,49700
82,7200.0,32000.0,4839
83,7200.0,2000.0,5044
84,5900.0,64000.0,8930
85,7200.0,64000.0,12158
88,7200.0,256000.0,34579
89,7200.0,256000.0,38055
90,7200.0,64000.0,3066
91,7200.0,2000.0,3432
92,7200.0,16000.0,3857
93,7200.0,16000.0,4277
94,5400.0,64000.0,9900
95,7200.0,128000.0,13750
96,7200.0,128000.0,19980
97,7200.0,256000.0,21349
98,7200.0,128000.0,23100
99,5400.0,64000.0,27518
100,7200.0,256000.0,29200
101,7200.0,256000.0,29778
102,7200.0,256000.0,55480
103,7200.0,16000.0,3758
105,5400.0,64000.0,7193
106,7200.0,32000.0,7714
107,5700.0,32000.0,8900
108,7200.0,128000.0,13420
111,7200.0,64000.0,14280
112,7200.0,256000.0,22880
113,7200.0,256000.0,23100
114,7200.0,256000.0,32978
115,7200.0,256000.0,34800
116,7200.0,256000.0,38045
117,7200.0,256000.0,40499
118,7200.0,256000.0,42719
119,7200.0,256000.0,63574
120,7200.0,256000.0,68800
121,7200.0,8000.0,2769
122,7200.0,16000.0,4154
125,7200.0,64000.0,7952
126,7200.0,32000.0,8505
127,7200.0,64000.0,9008
128,5940.0,32000.0,9980
129,7200.0,64000.0,11180
130,5900.0,64000.0,11280
131,7200.0,128000.0,13033
132,7200.0,64000.0,14419
133,7200.0,64000.0,17930
134,7200.0,256000.0,22880
135,7200.0,256000.0,33456
136,7200.0,256000.0,41200
137,7200.0,256000.0,45244
141,7200.0,32000.0,6232
142,5700.0,32000.0,6480
143,7200.0,32000.0,7280
144,7200.0,32000.0,7417
150,5900.0,64000.0,9494
153,7200.0,32000.0,10081
154,7200.0,64000.0,10181
160,5400.0,64000.0,18655
161,7200.0,128000.0,21600
162,7200.0,128000.0,25270
165,7200.0,256000.0,32780
166,7200.0,256000.0,33498
167,7200.0,256000.0,34429
169,7200.0,256000.0,48900
170,7200.0,256000.0,53292
171,5400.0,64000.0,55440
172,7200.0,256000.0,59675
173,7200.0,512000.0,66578
175,7200.0,64000.0,4648
176,7200.0,64000.0,4846
177,5900.0,64000.0,5736
179,5400.0,64000.0,6600
180,7200.0,32000.0,6658
183,5400.0,64000.0,8030
184,5900.0,64000.0,8703
185,7200.0,64000.0,8860
186,7200.0,64000.0,9200
192,7200.0,32000.0,11268
196,5400.0,64000.0,11880
199,7200.0,128000.0,12480
203,7200.0,64000.0,14245
204,5400.0,64000.0,16141
205,7200.0,128000.0,16980
208,7200.0,128000.0,18329
210,7200.0,64000.0,21340
214,7200.0,128000.0,23759
216,7200.0,128000.0,24980
221,7200.0,256000.0,30979
223,7200.0,256000.0,31549
224,7200.0,64000.0,31790
225,7200.0,128000.0,32565
226,7200.0,64000.0,33440
227,5400.0,64000.0,33440
229,7200.0,256000.0,36710
231,7200.0,256000.0,44470
235,7200.0,256000.0,48920
236,7200.0,256000.0,49000
238,7200.0,256000.0,49499
239,7200.0,256000.0,50599
240,7200.0,256000.0,50738
241,7200.0,256000.0,56780
244,7200.0,64000.0,59160
245,7200.0,256000.0,59645
250,7200.0,256000.0,68020
257,5400.0,128000.0,5280
258,5400.0,8000.0,4675
259,5400.0,128000.0,9793
260,5400.0,128000.0,9349
262,5400.0,128000.0,7394
264,5400.0,16000.0,1978
266,5400.0,128000.0,15567
267,5400.0,128000.0,4818
268,5400.0,8000.0,14980
269,5400.0,8000.0,3300
270,5400.0,8000.0,4665
271,5400.0,128000.0,13480
272,5400.0,8000.0,3758
274,5400.0,16000.0,3200
275,5400.0,8000.0,4579
276,5400.0,128000.0,4650
277,7200.0,128000.0,6780
278,5400.0,8000.0,3461
279,5400.0,16000.0,4354
280,5400.0,128000.0,7280
281,5400.0,8000.0,3461
282,5400.0,8000.0,3980
283,5400.0,16000.0,4383
284,5400.0,128000.0,6039
285,5400.0,8000.0,2275
286,5400.0,8000.0,2900
287,5400.0,16000.0,3461
288,7200.0,128000.0,5787
289,7200.0,32000.0,6784
291,5400.0,128000.0,8930
292,5400.0,16000.0,2176
293,5400.0,8000.0,2769
294,5400.0,8000.0,3182
295,5400.0,8000.0,3560
296,5400.0,8000.0,3956
297,5400.0,8000.0,4100
299,5400.0,16000.0,5390
300,5400.0,8000.0,5538
301,5400.0,8000.0,15580
302,7200.0,16000.0,3022
303,5400.0,8000.0,3165
304,5400.0,8000.0,3165
305,7200.0,32000.0,3165
306,5400.0,8000.0,3165
309,5400.0,8000.0,4154
311,5400.0,8000.0,5866
312,5400.0,8000.0,7728
314,5400.0,8000.0,11206
316,7200.0,128000.0,23282
317,5400.0,8000.0,2472
318,5400.0,8000.0,3101
320,5400.0,8000.0,3392
321,5400.0,8000.0,3392
322,5400.0,8000.0,3758
324,5400.0,8000.0,4154
325,5400.0,8000.0,4279
326,7200.0,16000.0,4665
327,5400.0,128000.0,5680
328,5400.0,8000.0,6013
329,5400.0,8000.0,6100
330,5400.0,8000.0,6480
331,5400.0,8000.0,6740
332,5400.0,8000.0,6950
333,5400.0,8000.0,7024
334,7200.0,32000.0,7080
336,7200.0,32000.0,7280
339,5400.0,8000.0,9936
341,5400.0,8000.0,12210
343,5400.0,16000.0,13046
344,5400.0,64000.0,14980
345,5400.0,8000.0,15180
349,7200.0,128000.0,26653
350,7200.0,128000.0,40736
351,15000.0,16000.0,13980
353,10025.0,16000.0,8896
354,10025.0,16000.0,1480
355,10025.0,16000.0,8650
356,7200.0,16000.0,9400
357,7200.0,32000.0,19799
359,7200.0,128000.0,24397
360,7200.0,128000.0,24745
363,7200.0,256000.0,37839
366,7200.0,256000.0,43779
368,7200.0,256000.0,52799
369,7200.0,128000.0,56780
370,7200.0,256000.0,58629
373,7200.0,256000.0,65779
374,7200.0,256000.0,68969
